rivnumb,rivalry,rivala,rivalb,beginr,endr,totdisp,rivtyp2,rivtypold
466,200652,200,652,19760405,19760405,1,ISOLATED,ISOLATED
467,200663,200,663,19900809,19910303,1,ISOLATED,ISOLATED
468,200666,200,666,19490107,19561026,2,ISOLATED,ISOLATED
469,200670,200,670,19340501,19340623,1,ISOLATED,ISOLATED
470,200670,200,670,19551128,19560213,2,ISOLATED,ISOLATED
471,200678,200,678,19490701,19670422,5,RIVALRY,PROTO
472,200700,200,700,20010915,20011115,2,ISOLATED,ISOLATED
473,200710,200,710,18980325,19000816,2,ISOLATED,ISOLATED
474,200710,200,710,19260315,19270328,2,ISOLATED,ISOLATED
475,200710,200,710,19500817,19681117,11,RIVALRY,PROTO
476,200713,200,713,19491018,19550119,6,RIVALRY,PROTO
477,200730,200,730,18971225,18980205,1,ISOLATED,ISOLATED
478,200731,200,731,19500628,19530727,1,ISOLATED,ISOLATED
479,200740,200,740,18630406,18651124,3,RIVALRY,PROTO
480,200740,200,740,18851001,18851131,1,ISOLATED,ISOLATED
481,200740,200,740,19320131,19450814,6,RIVALRY,PROTO
482,200800,200,800,19420125,19450831,1,ISOLATED,ISOLATED
10484,200850,200,850,19510903,19660425,3,RIVALRY,PROTO
486,205230,205,230,19841020,19851128,2,ISOLATED,ISOLATED
487,205255,205,255,19400820,19401029,1,ISOLATED,ISOLATED
488,205345,205,345,20001124,20001128,2,ISOLATED,ISOLATED
489,210211,210,211,18310802,18330521,2,ISOLATED,ISOLATED
490,210220,210,220,18310815,18330521,2,ISOLATED,ISOLATED
491,210255,210,255,19141005,19180827,1,ISOLATED,ISOLATED
492,210255,210,255,19391105,19400514,2,ISOLATED,ISOLATED
493,210345,210,345,19920716,20001128,8,RIVALRY,PROTO
494,210365,210,365,19140824,19140824,1,ISOLATED,ISOLATED
495,210365,210,365,19800313,19800319,1,ISOLATED,ISOLATED
2006,210365,210,365,19990408,19990419,2,ISOLATED,ISOLATED
497,210645,210,645,19900821,19991022,3,RIVALRY,PROTO
499,210700,210,700,20011009,20011031,2,ISOLATED,ISOLATED
500,210710,210,710,19510120,19530727,1,ISOLATED,ISOLATED
501,210710,210,710,19660722,19661230,1,ISOLATED,ISOLATED
502,210731,210,731,19510120,19530727,1,ISOLATED,ISOLATED
503,210740,210,740,18640722,18651124,2,ISOLATED,ISOLATED
504,210850,210,850,19510816,19620817,7,RIVALRY,PROTO
506,211255,211,255,18320915,18330521,1,ISOLATED,ISOLATED
507,211255,211,255,19140802,19400528,8,RIVALRY,ENDURING
508,211265,211,265,19580602,19580630,1,ISOLATED,ISOLATED
509,211300,211,300,19140802,19181103,1,ISOLATED,ISOLATED
510,211345,211,345,19920716,20001128,8,RIVALRY,PROTO
511,211355,211,355,19151014,19180929,1,ISOLATED,ISOLATED
513,211365,211,365,19600731,19600731,1,ISOLATED,ISOLATED
2001,211365,211,365,19990408,19990419,2,ISOLATED,ISOLATED
514,211490,211,490,19600705,19600902,1,ISOLATED,ISOLATED
515,211490,211,490,19911027,19930131,3,RIVALRY,PROTO
517,211640,211,640,19140902,19181111,1,ISOLATED,ISOLATED
518,211645,211,645,19900821,19910303,1,ISOLATED,ISOLATED
520,211710,211,710,19510120,19530727,1,ISOLATED,ISOLATED
521,211731,211,731,19510120,19530727,1,ISOLATED,ISOLATED
522,212255,212,255,19391105,19400510,1,ISOLATED,ISOLATED
10523,212345,212,345,19980611,20001128,6,ISOLATED,ISOLATED
525,220230,220,230,18210827,18231113,2,ISOLATED,ISOLATED
526,220230,220,230,19080514,19080514,1,ISOLATED,ISOLATED
527,220230,220,230,19400110,19400701,2,ISOLATED,ISOLATED
528,220230,220,230,19840307,19840307,1,ISOLATED,ISOLATED
529,220235,220,235,18310701,18310714,1,ISOLATED,ISOLATED
530,220235,220,235,18571129,18580529,1,ISOLATED,ISOLATED
2011,220245,220,245,18700716,18701115,1,ISOLATED,ISOLATED
10531,220255,220,255,18300828,19400622,20,RIVALRY,ENDURING
533,220265,220,265,19610813,19611028,1,ISOLATED,ISOLATED
2010,220267,220,267,18700716,18701122,1,ISOLATED,ISOLATED
2009,220271,220,271,18700717,18701122,1,ISOLATED,ISOLATED
534,220290,220,290,19611018,19611028,1,ISOLATED,ISOLATED
535,220300,220,300,18400801,18590712,3,RIVALRY,PROTO
536,220300,220,300,18880301,18880331,1,ISOLATED,ISOLATED
537,220300,220,300,19140725,19181103,1,ISOLATED,ISOLATED
538,220310,220,310,19190320,19190818,1,ISOLATED,ISOLATED
539,220310,220,310,19441023,19450120,1,ISOLATED,ISOLATED
540,220315,220,315,19611018,19611028,1,ISOLATED,ISOLATED
541,220325,220,325,18600910,18660709,4,RIVALRY,PROTO
542,220325,220,325,18880201,18880331,1,ISOLATED,ISOLATED
543,220325,220,325,19110905,19120127,2,ISOLATED,ISOLATED
544,220325,220,325,19251201,19400610,7,RIVALRY,PROTO
545,220327,220,327,18490424,18490701,1,ISOLATED,ISOLATED
546,220329,220,329,18480901,18480911,1,ISOLATED,ISOLATED
547,220339,220,339,19180915,19181105,1,ISOLATED,ISOLATED
548,220344,220,344,19930126,19930131,2,ISOLATED,ISOLATED
550,220345,220,345,19920716,20001128,8,RIVALRY,PROTO
551,220350,220,350,18540531,18541201,1,ISOLATED,ISOLATED
552,220350,220,350,18960518,18970815,2,ISOLATED,ISOLATED
553,220350,220,350,19160111,19220729,3,RIVALRY,PROTO
555,220355,220,355,19151014,19180929,1,ISOLATED,ISOLATED
556,220365,220,365,18330622,18560330,4,RIVALRY,PROTO
557,220365,220,365,19180628,19201001,4,RIVALRY,PROTO
2003,220365,220,365,19990408,19990419,2,ISOLATED,ISOLATED
10559,220365,220,365,19480321,19611028,4,RIVALRY,PROTO
559,220368,220,368,19230111,19230115,1,ISOLATED,ISOLATED
560,220380,220,380,19151106,19160731,1,ISOLATED,ISOLATED
561,220481,220,481,19640218,19640229,1,ISOLATED,ISOLATED
562,220484,220,484,19770501,19770526,1,ISOLATED,ISOLATED
563,220490,220,490,19911027,19911105,1,ISOLATED,ISOLATED
564,220500,220,500,19770428,19770526,1,ISOLATED,ISOLATED
565,220520,220,520,19760203,19760203,1,ISOLATED,ISOLATED
567,220540,220,540,19770415,19780201,2,ISOLATED,ISOLATED
569,220581,220,581,19891211,19891215,1,ISOLATED,ISOLATED
570,220600,220,600,19040601,19110630,3,RIVALRY,PROTO
571,220600,220,600,19600928,19600928,1,ISOLATED,ISOLATED
572,220616,220,616,19570531,19610905,5,RIVALRY,PROTO
573,220620,220,620,19780415,19870911,6,RIVALRY,PROTO
574,220630,220,630,19851018,19880120,3,RIVALRY,PROTO
575,220640,220,640,18270816,18330710,3,RIVALRY,PROTO
576,220640,220,640,18520401,18520631,1,ISOLATED,ISOLATED
10578,220640,220,640,18800701,19380628,13,RIVALRY,ENDURING
579,220645,220,645,19900808,19991022,10,RIVALRY,PROTO
580,220651,220,651,18820703,18820710,1,ISOLATED,ISOLATED
581,220651,220,651,19560802,19561106,1,ISOLATED,ISOLATED
582,220652,220,652,19580416,19580417,1,ISOLATED,ISOLATED
583,220660,220,660,19891130,19900212,1,ISOLATED,ISOLATED
584,220663,220,663,19900809,19910303,1,ISOLATED,ISOLATED
585,220670,220,670,19340501,19340623,1,ISOLATED,ISOLATED
586,220700,220,700,20010915,20011115,2,ISOLATED,ISOLATED
589,220710,220,710,19491214,19530727,3,RIVALRY,PROTO
10588,220710,220,710,18700725,19270328,8,RIVALRY,ENDURING
590,220731,220,731,19510101,19530727,1,ISOLATED,ISOLATED
591,220731,220,731,19901002,19901002,1,ISOLATED,ISOLATED
592,220740,220,740,18630720,18651124,3,RIVALRY,PROTO
593,220740,220,740,18950423,18950423,1,ISOLATED,ISOLATED
594,220740,220,740,19381214,19400620,1,ISOLATED,ISOLATED
595,220800,220,800,18930204,18931003,1,ISOLATED,ISOLATED
596,220800,220,800,19401123,19520307,4,RIVALRY,PROTO
599,220920,220,920,19850710,19850710,1,ISOLATED,ISOLATED
600,223225,223,225,19921017,19921017,1,ISOLATED,ISOLATED
601,225255,225,255,18561118,18570526,1,ISOLATED,ISOLATED
602,225255,225,255,19140830,19140830,1,ISOLATED,ISOLATED
10603,225255,225,255,19390829,19430918,3,ISOLATED,ISOLATED
604,225300,225,300,19140830,19140830,1,ISOLATED,ISOLATED
605,225345,225,345,20001124,20001128,2,ISOLATED,ISOLATED
606,230235,230,235,18401205,18410201,1,ISOLATED,ISOLATED
607,230235,230,235,19360801,19390329,1,ISOLATED,ISOLATED
608,230255,230,255,18230106,18230106,1,ISOLATED,ISOLATED
609,230255,230,255,19150819,19190316,2,ISOLATED,ISOLATED
610,230255,230,255,19360728,19430207,2,ISOLATED,ISOLATED
611,230300,230,300,18230106,18230106,1,ISOLATED,ISOLATED
612,230325,230,325,19271028,19401001,4,RIVALRY,PROTO
613,230345,230,345,19920716,20001128,8,RIVALRY,PROTO
614,230365,230,365,18230106,18230106,1,ISOLATED,ISOLATED
615,230365,230,365,19410801,19440831,1,ISOLATED,ISOLATED
2008,230365,230,365,19990408,19990419,2,ISOLATED,ISOLATED
616,230411,230,411,19690301,19690404,1,ISOLATED,ISOLATED
618,230600,230,600,18591016,18600325,1,ISOLATED,ISOLATED
619,230600,230,600,18931002,18940131,1,ISOLATED,ISOLATED
620,230600,230,600,19070808,19111230,3,RIVALRY,PROTO
621,230600,230,600,19571123,19800617,8,RIVALRY,ENDURING
622,230615,230,615,19751027,19751027,1,ISOLATED,ISOLATED
10623,230630,230,630,19841226,19880321,3,ISOLATED,ISOLATED
624,230645,230,645,19900821,19910303,1,ISOLATED,ISOLATED
626,230666,230,666,19650404,19650405,1,ISOLATED,ISOLATED
627,230700,230,700,20011009,20011031,2,ISOLATED,ISOLATED
628,230710,230,710,19270120,19270328,1,ISOLATED,ISOLATED
10632,235255,235,255,19140808,19181111,3,ISOLATED,ISOLATED
10633,235255,235,255,19400725,19440531,4,ISOLATED,ISOLATED
634,235300,235,300,19160310,19181103,1,ISOLATED,ISOLATED
10635,235345,235,345,19980611,20001128,6,RIVALRY,PROTO
636,235355,235,355,19160310,19180929,1,ISOLATED,ISOLATED
2007,235365,235,365,19990408,19990419,2,ISOLATED,ISOLATED
637,235433,235,433,19611201,19730525,5,RIVALRY,PROTO
638,235434,235,434,19610725,19610801,1,ISOLATED,ISOLATED
639,235438,235,438,19620311,19730120,4,RIVALRY,PROTO
640,235484,235,484,19670408,19690731,2,ISOLATED,ISOLATED
641,235490,235,490,19671101,19690815,2,ISOLATED,ISOLATED
642,235510,235,510,19720414,19720414,1,ISOLATED,ISOLATED
643,235551,235,551,19660518,19730614,3,RIVALRY,PROTO
644,235553,235,553,19730504,19730504,1,ISOLATED,ISOLATED
645,235560,235,560,19750407,19750407,1,ISOLATED,ISOLATED
646,235640,235,640,19160310,19181111,1,ISOLATED,ISOLATED
647,235700,235,700,20011009,20011031,2,ISOLATED,ISOLATED
648,235710,235,710,19270120,19270328,1,ISOLATED,ISOLATED
649,235750,235,750,19540807,19611219,3,RIVALRY,PROTO
650,235850,235,850,19750801,19760727,1,ISOLATED,ISOLATED
651,235900,235,900,19411217,19411217,1,ISOLATED,ISOLATED
652,240255,240,255,18640212,18660726,2,ISOLATED,ISOLATED
653,240280,240,280,18660620,18660726,1,ISOLATED,ISOLATED
654,240325,240,325,18660505,18660726,1,ISOLATED,ISOLATED
658,240390,240,390,18631223,18640720,1,ISOLATED,ISOLATED
10659,245255,245,255,18501011,18660726,2,ISOLATED,ISOLATED
661,245280,245,280,18660505,18660726,1,ISOLATED,ISOLATED
662,245325,245,325,18660331,18660726,1,ISOLATED,ISOLATED
664,255267,255,267,18660511,18660726,1,ISOLATED,ISOLATED
665,255269,255,269,18640212,18660726,3,RIVALRY,PROTO
10666,255271,255,271,18501011,18660726,2,ISOLATED,ISOLATED
668,255273,255,273,18500926,18501129,1,ISOLATED,ISOLATED
669,255273,255,273,18660511,18660726,1,ISOLATED,ISOLATED
670,255275,255,275,18660511,18660726,1,ISOLATED,ISOLATED
671,255290,255,290,19191016,19211020,2,ISOLATED,ISOLATED
672,255290,255,290,19390325,19390927,1,ISOLATED,ISOLATED
673,255300,255,300,18500926,18501129,1,ISOLATED,ISOLATED
674,255300,255,300,18650403,18660726,1,ISOLATED,ISOLATED
675,255305,255,305,19380311,19380312,1,ISOLATED,ISOLATED
10676,255310,255,310,19400411,19450705,4,ISOLATED,ISOLATED
677,255315,255,315,19340725,19390316,3,RIVALRY,PROTO
678,255325,255,325,18590624,18590712,1,ISOLATED,ISOLATED
10679,255325,255,325,19141020,19431018,7,RIVALRY,ENDURING
11679,255325,255,325,19430909,19431018,1,ISOLATED,ISOLATED
680,255339,255,339,19160104,19181111,1,ISOLATED,ISOLATED
681,255345,255,345,19140725,19181111,1,ISOLATED,ISOLATED
683,255345,255,345,19920716,20001128,8,RIVALRY,PROTO
2682,255345,255,345,19400304,19410417,2,ISOLATED,ISOLATED
684,255350,255,350,18860426,18970815,3,RIVALRY,PROTO
685,255350,255,350,19161127,19181111,2,ISOLATED,ISOLATED
686,255350,255,350,19401025,19410423,1,ISOLATED,ISOLATED
10687,255355,255,355,19401011,19440909,3,ISOLATED,ISOLATED
10688,255360,255,360,19141020,19171209,3,ISOLATED,ISOLATED
10689,255360,255,360,19400828,19450507,2,ISOLATED,ISOLATED
690,255365,255,365,18501028,18501129,1,ISOLATED,ISOLATED
691,255365,255,365,19140725,19200201,3,RIVALRY,PROTO
692,255365,255,365,19361112,19450507,5,RIVALRY,PROTO
2004,255365,255,365,19990408,19990419,2,ISOLATED,ISOLATED
693,255366,255,366,19190623,19191215,1,ISOLATED,ISOLATED
694,255366,255,366,19391212,19391212,1,ISOLATED,ISOLATED
695,255367,255,367,19190315,19191215,1,ISOLATED,ISOLATED
696,255367,255,367,19391105,19400302,1,ISOLATED,ISOLATED
697,255368,255,368,19390320,19390323,1,ISOLATED,ISOLATED
698,255375,255,375,19391106,19400105,2,ISOLATED,ISOLATED
700,255380,255,380,19141030,19181111,3,ISOLATED,ISOLATED
701,255380,255,380,19391105,19440428,4,ISOLATED,ISOLATED
702,255385,255,385,19110718,19180111,3,RIVALRY,PROTO
703,255385,255,385,19391104,19400409,1,ISOLATED,ISOLATED
704,255390,255,390,18480401,18490710,1,ISOLATED,ISOLATED
705,255390,255,390,18630417,18640720,1,ISOLATED,ISOLATED
706,255390,255,390,19140801,19151111,2,ISOLATED,ISOLATED
707,255390,255,390,19400226,19400409,1,ISOLATED,ISOLATED
708,255450,255,450,19440127,19440727,1,ISOLATED,ISOLATED
709,255530,255,530,19421214,19430614,1,ISOLATED,ISOLATED
710,255560,255,560,19390906,19450507,1,ISOLATED,ISOLATED
711,255630,255,630,19430909,19440309,1,ISOLATED,ISOLATED
714,255640,255,640,19400119,19440223,2,ISOLATED,ISOLATED
10712,255640,255,640,18760513,18970815,3,RIVALRY,PROTO
715,255645,255,645,19430116,19450906,1,ISOLATED,ISOLATED
716,255645,255,645,19910106,19991022,3,RIVALRY,PROTO
717,255651,255,651,19410519,19450507,3,ISOLATED,ISOLATED
719,255670,255,670,19430909,19430909,1,ISOLATED,ISOLATED
720,255700,255,700,20011009,20011031,2,ISOLATED,ISOLATED
721,255710,255,710,18971114,19010907,3,RIVALRY,PROTO
722,255710,255,710,19170209,19260315,2,ISOLATED,ISOLATED
724,255740,255,740,18950423,18950423,1,ISOLATED,ISOLATED
725,255740,255,740,19140823,19181111,1,ISOLATED,ISOLATED
726,255800,255,800,19170722,19181111,1,ISOLATED,ISOLATED
727,255900,255,900,19390903,19450507,1,ISOLATED,ISOLATED
728,255920,255,920,19390903,19450507,1,ISOLATED,ISOLATED
729,260265,260,265,19610813,19710129,4,RIVALRY,PROTO
730,260290,260,290,19611018,19641119,2,ISOLATED,ISOLATED
731,260290,260,290,19870615,19870615,1,ISOLATED,ISOLATED
732,260315,260,315,19611018,19631004,2,ISOLATED,ISOLATED
733,260315,260,315,19840420,19860922,3,RIVALRY,PROTO
10734,260365,260,365,19610813,19800319,5,RIVALRY,PROTO
736,260395,260,395,19741124,19741124,1,ISOLATED,ISOLATED
10737,260630,260,630,19840909,19880611,3,ISOLATED,ISOLATED
739,260713,260,713,19560923,19560923,1,ISOLATED,ISOLATED
740,265315,265,315,19680716,19681112,1,ISOLATED,ISOLATED
741,265385,265,385,19690109,19690109,1,ISOLATED,ISOLATED
742,267280,267,280,18660620,18660726,1,ISOLATED,ISOLATED
743,267325,267,325,18660505,18660726,1,ISOLATED,ISOLATED
744,267390,267,390,18631201,18631201,1,ISOLATED,ISOLATED
745,269280,269,280,18660620,18660726,1,ISOLATED,ISOLATED
746,269325,269,325,18660325,18660726,1,ISOLATED,ISOLATED
748,269390,269,390,18631124,18640720,1,ISOLATED,ISOLATED
749,271280,271,280,18660620,18660726,1,ISOLATED,ISOLATED
750,271325,271,325,18660511,18660726,1,ISOLATED,ISOLATED
751,271390,271,390,18631124,18640720,1,ISOLATED,ISOLATED
752,273280,273,280,18660620,18660726,1,ISOLATED,ISOLATED
753,273325,273,325,18660511,18660726,1,ISOLATED,ISOLATED
754,275280,275,280,18660620,18660726,1,ISOLATED,ISOLATED
755,275325,275,325,18660511,18660726,1,ISOLATED,ISOLATED
756,275390,275,390,18631124,18640720,1,ISOLATED,ISOLATED
757,280300,280,300,18660620,18660726,1,ISOLATED,ISOLATED
758,290315,290,315,19190123,19190201,1,ISOLATED,ISOLATED
759,290315,290,315,19380424,19381002,1,ISOLATED,ISOLATED
760,290315,290,315,19680510,19681112,1,ISOLATED,ISOLATED
761,290345,290,345,19990309,20001128,6,RIVALRY,PROTO
762,290365,290,365,19190101,19201118,3,RIVALRY,PROTO
763,290365,290,365,19380923,19390929,3,RIVALRY,PROTO
764,290365,290,365,19561017,19561021,1,ISOLATED,ISOLATED
765,290365,290,365,19930620,19970321,4,RIVALRY,PROTO
766,290366,290,366,19390914,19390919,2,ISOLATED,ISOLATED
10768,290368,290,368,19190404,19380320,4,RIVALRY,PROTO
770,290390,290,390,19641119,19641119,1,ISOLATED,ISOLATED
771,290713,290,713,19541012,19541120,1,ISOLATED,ISOLATED
772,300325,300,325,18210310,18210408,1,ISOLATED,ISOLATED
773,300325,300,325,18480115,18771131,5,RIVALRY,PROTO
774,300325,300,325,19040901,19181103,4,RIVALRY,PROTO
775,300327,300,327,18470717,18490701,3,RIVALRY,PROTO
776,300329,300,329,18210101,18210324,1,ISOLATED,ISOLATED
777,300329,300,329,18480401,18480809,1,ISOLATED,ISOLATED
778,300332,300,332,18480301,18480809,1,ISOLATED,ISOLATED
779,300337,300,337,18480301,18490525,2,ISOLATED,ISOLATED
780,300339,300,339,19160104,19181103,1,ISOLATED,ISOLATED
781,300345,300,345,19081006,19181103,4,RIVALRY,PROTO
782,300350,300,350,18860426,18970815,3,RIVALRY,PROTO
783,300350,300,350,19170629,19181103,1,ISOLATED,ISOLATED
784,300360,300,360,18830701,18830701,1,ISOLATED,ISOLATED
785,300360,300,360,19160827,19171209,1,ISOLATED,ISOLATED
786,300365,300,365,18540420,18560330,2,ISOLATED,ISOLATED
787,300365,300,365,19121121,19171215,2,ISOLATED,ISOLATED
788,300380,300,380,19151106,19160731,1,ISOLATED,ISOLATED
789,300390,300,390,18631001,18640720,1,ISOLATED,ISOLATED
790,300640,300,640,18530101,18530225,1,ISOLATED,ISOLATED
10791,300640,300,640,18760513,19051206,4,RIVALRY,PROTO
793,300710,300,710,19000530,19000816,1,ISOLATED,ISOLATED
794,300710,300,710,19170814,19181111,1,ISOLATED,ISOLATED
795,300740,300,740,19140823,19181103,1,ISOLATED,ISOLATED
796,300800,300,800,19170722,19181103,1,ISOLATED,ISOLATED
797,305310,305,310,19210828,19220915,2,ISOLATED,ISOLATED
798,305310,305,310,19600925,19600925,1,ISOLATED,ISOLATED
799,305315,305,315,19220824,19220915,1,ISOLATED,ISOLATED
800,305325,305,325,19220824,19220915,1,ISOLATED,ISOLATED
801,305325,305,325,19600925,19600925,1,ISOLATED,ISOLATED
802,305345,305,345,19190502,19220915,2,ISOLATED,ISOLATED
803,305345,305,345,19910627,20001128,3,RIVALRY,PROTO
804,305710,305,710,20010417,20010417,1,ISOLATED,ISOLATED
805,310315,310,315,19190328,19190818,1,ISOLATED,ISOLATED
806,310315,310,315,19381013,19390317,2,ISOLATED,ISOLATED
807,310315,310,315,19680716,19681112,1,ISOLATED,ISOLATED
808,310325,310,325,19190320,19190818,1,ISOLATED,ISOLATED
810,310344,310,344,19950812,19960212,2,ISOLATED,ISOLATED
811,310345,310,345,19190324,19230131,2,ISOLATED,ISOLATED
812,310345,310,345,19380924,19521026,4,RIVALRY,PROTO
813,310345,310,345,19910822,20001128,11,RIVALRY,PROTO
814,310355,310,355,19410424,19411024,1,ISOLATED,ISOLATED
815,310360,310,360,19190410,19230131,3,RIVALRY,PROTO
817,310360,310,360,19710802,19710808,1,ISOLATED,ISOLATED
10816,310360,310,360,19390315,19440909,5,ISOLATED,ISOLATED
818,310365,310,365,19410627,19450120,1,ISOLATED,ISOLATED
819,310365,310,365,19561020,19561114,1,ISOLATED,ISOLATED
826,315355,315,355,19680716,19681112,1,ISOLATED,ISOLATED
827,315360,315,360,19220901,19220915,1,ISOLATED,ISOLATED
828,315360,315,360,19710802,19710808,1,ISOLATED,ISOLATED
829,315365,315,365,19680423,19681112,1,ISOLATED,ISOLATED
830,315713,315,713,19530910,19530910,1,ISOLATED,ISOLATED
831,316345,316,345,19990309,20001128,6,RIVALRY,PROTO
832,317345,317,345,20001124,20001128,2,ISOLATED,ISOLATED
833,325327,325,327,18600907,18600929,1,ISOLATED,ISOLATED
834,325329,325,329,18600918,18610213,1,ISOLATED,ISOLATED
837,325339,325,339,19520608,19570608,3,RIVALRY,PROTO
10835,325339,325,339,19140913,19390408,5,RIVALRY,PROTO
838,325345,325,345,19230824,19560411,7,RIVALRY,ENDURING
839,325345,325,345,19920716,20001128,8,RIVALRY,PROTO
840,325349,325,349,19930812,19930813,2,ISOLATED,ISOLATED
841,325350,325,350,18860426,18970815,3,RIVALRY,PROTO
842,325350,325,350,19230829,19230927,1,ISOLATED,ISOLATED
843,325350,325,350,19400521,19410423,2,ISOLATED,ISOLATED
844,325355,325,355,19151014,19180929,1,ISOLATED,ISOLATED
846,325360,325,360,19220901,19220915,1,ISOLATED,ISOLATED
848,325365,325,365,18550110,18560330,1,ISOLATED,ISOLATED
849,325365,325,365,19180628,19201001,3,RIVALRY,PROTO
850,325365,325,365,19370830,19370830,1,ISOLATED,ISOLATED
851,325365,325,365,19800313,19820224,2,ISOLATED,ISOLATED
2005,325365,325,365,19990408,19990419,2,ISOLATED,ISOLATED
852,325368,325,368,19230113,19230115,1,ISOLATED,ISOLATED
854,325380,325,380,19401105,19420407,2,ISOLATED,ISOLATED
856,325390,325,390,19370812,19370812,1,ISOLATED,ISOLATED
857,325530,325,530,19230101,19430614,6,RIVALRY,PROTO
859,325620,325,620,19780730,19780730,1,ISOLATED,ISOLATED
860,325630,325,630,19400714,19400714,1,ISOLATED,ISOLATED
862,325640,325,640,18250925,18250926,1,ISOLATED,ISOLATED
863,325640,325,640,18800914,19241131,14,RIVALRY,ENDURING
864,325640,325,640,19400922,19401020,1,ISOLATED,ISOLATED
865,325645,325,645,19430116,19450906,1,ISOLATED,ISOLATED
866,325645,325,645,19900821,19991022,3,RIVALRY,PROTO
867,325651,325,651,19400616,19401021,1,ISOLATED,ISOLATED
868,325652,325,652,19580416,19580417,1,ISOLATED,ISOLATED
870,325670,325,670,19340501,19340623,1,ISOLATED,ISOLATED
871,325710,325,710,18700822,18701005,1,ISOLATED,ISOLATED
872,325710,325,710,18990224,19000816,2,ISOLATED,ISOLATED
873,325710,325,710,19260315,19270328,2,ISOLATED,ISOLATED
875,325800,325,800,19430901,19430931,1,ISOLATED,ISOLATED
878,327329,327,329,18490428,18490701,1,ISOLATED,ISOLATED
880,338652,338,652,19890829,19890829,1,ISOLATED,ISOLATED
881,339343,339,343,19930626,19970313,4,RIVALRY,PROTO
882,339345,339,345,19150612,19211018,3,RIVALRY,PROTO
883,339345,339,345,19490301,19520731,2,ISOLATED,ISOLATED
884,339345,339,345,19760201,19760231,1,ISOLATED,ISOLATED
885,339345,339,345,19921209,20010208,11,RIVALRY,PROTO
886,339350,339,350,19460301,19490813,3,RIVALRY,PROTO
887,339350,339,350,19940410,19970917,4,RIVALRY,PROTO
888,339355,339,355,19160104,19181129,1,ISOLATED,ISOLATED
889,339640,339,640,19160104,19181111,1,ISOLATED,ISOLATED
890,343345,343,345,19940500,19990610,5,RIVALRY,PROTO
891,344345,344,345,19920120,20000930,10,RIVALRY,PROTO
892,344346,344,346,19921020,19961018,6,RIVALRY,PROTO
893,345346,345,346,19920406,19940131,4,RIVALRY,PROTO
896,345350,345,350,19920716,20001128,8,RIVALRY,PROTO
897,345355,345,355,19130418,19521026,8,RIVALRY,ENDURING
898,345355,345,355,19710704,19710704,1,ISOLATED,ISOLATED
899,345355,345,355,20001124,20001128,2,ISOLATED,ISOLATED
900,345360,345,360,19181101,19220915,2,ISOLATED,ISOLATED
901,345360,345,360,19500128,19521026,2,ISOLATED,ISOLATED
902,345360,345,360,19930130,20001128,4,RIVALRY,PROTO
903,345365,345,365,19180628,19191012,1,ISOLATED,ISOLATED
904,345365,345,365,19490813,19521026,2,ISOLATED,ISOLATED
905,345365,345,365,19800506,19800506,1,ISOLATED,ISOLATED
906,345365,345,365,19980817,20001128,4,RIVALRY,PROTO
907,345366,345,366,20001124,20001128,2,ISOLATED,ISOLATED
908,345368,345,368,19980817,20001128,4,RIVALRY,PROTO
909,345369,345,369,20001124,20001128,2,ISOLATED,ISOLATED
910,345372,345,372,20001124,20001128,2,ISOLATED,ISOLATED
911,345373,345,373,20001124,20001128,2,ISOLATED,ISOLATED
912,345375,345,375,20001124,20001128,2,ISOLATED,ISOLATED
913,345380,345,380,20001124,20001128,2,ISOLATED,ISOLATED
914,345385,345,385,19980611,20001128,6,RIVALRY,PROTO
915,345390,345,390,19980611,20001128,6,RIVALRY,PROTO
916,345395,345,395,19980611,20001128,6,RIVALRY,PROTO
917,345600,345,600,20001124,20001128,2,ISOLATED,ISOLATED
919,345640,345,640,19120930,19181111,2,ISOLATED,ISOLATED
920,345640,345,640,19920716,20001128,10,RIVALRY,PROTO
921,345663,345,663,20001124,20001128,2,ISOLATED,ISOLATED
922,345696,345,696,20001124,20001128,2,ISOLATED,ISOLATED
923,350355,350,355,19130428,19520813,10,RIVALRY,ENDURING
924,350365,350,365,18860426,18970815,3,RIVALRY,PROTO
925,350365,350,365,19181217,19190406,1,ISOLATED,ISOLATED
927,350640,350,640,18290924,18290925,1,ISOLATED,ISOLATED
928,350640,350,640,18540101,18541201,1,ISOLATED,ISOLATED
929,350640,350,640,18661001,19250430,17,RIVALRY,ENDURING
930,350640,350,640,19580101,20011231,34,RIVALRY,ENDURING
931,350645,350,645,19820809,19991022,7,RIVALRY,PROTO
933,350666,350,666,19760718,19760718,1,ISOLATED,ISOLATED
934,350700,350,700,20011009,20011031,2,ISOLATED,ISOLATED
935,350710,350,710,19510120,19530727,1,ISOLATED,ISOLATED
936,350731,350,731,19510120,19530727,1,ISOLATED,ISOLATED
938,352640,352,640,19650316,20010720,15,RIVALRY,ENDURING
10939,352645,352,645,19840704,19880514,4,ISOLATED,ISOLATED
940,352651,352,651,19780219,19830219,2,ISOLATED,ISOLATED
941,352666,352,666,19870103,19870103,1,ISOLATED,ISOLATED
943,355360,355,360,19130628,19260723,3,RIVALRY,PROTO
944,355360,355,360,19401012,19401104,1,ISOLATED,ISOLATED
945,355365,355,365,19121102,19171215,3,RIVALRY,PROTO
10946,355365,355,365,19401104,19411213,3,ISOLATED,ISOLATED
